Math English Literature SAT
402 66 84 89 791
403 18 8 7 288
404 96 72 45 800
405 90 87 89 800
406 95 98 70 800
407 73 25 30 635
408 37 2 59 446
409 78 22 87 686
410 1 12 45 287
411 94 38 34 800
412 100 8 57 660
413 36 28 41 497
414 75 57 84 785
415 80 33 15 667
416 71 95 66 800
417 48 38 0 497
418 49 96 32 713
419 31 27 95 528
420 70 69 1 703
421 83 13 7 568
422 43 81 21 623
423 51 77 100 767
424 66 44 49 657
425 14 46 63 417
426 34 68 0 548
427 40 7 28 371
428 8 65 99 473
429 94 79 76 800
430 84 22 6 619
431 88 4 81 744
432 94 38 12 650
433 7 34 41 361
434 38 45 93 580
435 54 39 55 618
436 10 92 1 475
437 80 17 97 659
438 74 15 77 639
439 5 61 8 367
440 48 1 36 506
441 92 6 48 705
442 4 78 68 535
443 29 94 79 674
444 50 20 81 549
445 61 64 7 661
446 26 33 17 447
447 42 96 3 624
448 37 82 24 628
449 95 74 92 800
450 12 22 0 352
451 7 4 22 262
452 97 37 16 731
453 44 74 15 611
454 37 94 65 676
455 14 67 49 433
456 5 70 70 450
457 66 85 29 695
458 58 71 98 754
459 99 86 29 800
460 60 45 53 633
461 6 68 7 427
462 16 12 68 312
463 48 74 18 606
464 0 6 53 302
465 44 28 80 527
466 26 41 31 470
467 94 95 69 800
468 72 98 78 800
469 16 3 26 305
470 48 59 68 641
471 69 3 100 597
472 46 57 55 637
473 96 9 93 793
474 71 63 20 712
475 40 82 23 615
476 11 35 48 371
477 24 13 46 476
478 87 8 79 741
479 44 35 0 476
480 50 100 75 724
481 69 53 83 743
482 76 33 31 639
483 15 31 71 413
484 85 38 25 700
485 95 1 31 649
486 59 3 99 599
487 50 88 42 703
488 19 40 86 460
489 0 47 53 415
490 88 40 55 761
491 13 70 85 572
492 2 40 38 293
493 94 50 16 786
494 29 3 19 356
495 16 30 86 448
496 40 97 34 652
497 46 54 78 636
498 43 97 6 582
499 52 80 24 648
500 85 76 24 787
501 5 6 39 307
502 55 13 88 568
503 69 12 97 650
504 66 77 87 773
505 66 91 44 768
506 47 40 19 487
507 97 18 8 630
508 40 37 58 512
509 85 51 7 654
510 76 92 53 800
511 53 7 47 553
512 88 11 4 538
513 47 76 60 662
514 0 30 79 399
515 73 73 60 722
516 72 23 2 567
517 18 39 39 410
518 65 51 10 628
519 54 94 2 671
520 33 5 84 473
521 64 30 32 652
522 83 24 29 689
523 71 38 83 687
524 35 77 41 609
525 12 87 1 494
526 39 68 5 567
527 93 68 73 800
528 81 16 7 541
529 76 81 7 798
530 96 71 64 800
531 100 93 41 800
532 61 0 43 560
533 2 60 8 372
534 33 37 27 497
535 28 74 80 618
536 11 76 9 463
537 4 26 27 339
538 37 25 13 484
539 34 68 67 557
540 17 49 98 451
541 62 38 21 576
542 40 5 37 448
543 96 90 11 800
544 65 80 79 764
545 33 48 6 475
546 19 3 79 364
547 11 51 12 370
548 100 37 78 800
549 38 50 36 498
550 56 40 62 675
551 74 2 92 587
552 87 52 10 746
553 57 16 72 519
554 1 20 15 231
555 91 98 26 800
556 77 97 78 800
557 38 76 60 643
558 9 7 9 283
559 5 52 16 376
560 82 60 70 778
561 83 44 27 713
562 66 0 29 471
563 13 43 56 382
564 34 50 34 476
565 73 67 100 800
566 91 70 21 798
567 70 79 59 768
568 24 14 41 375
569 65 16 54 623
570 28 76 81 599
571 96 44 1 713
572 15 63 68 523
573 42 10 88 459
574 25 84 41 565
575 9 33 90 430
576 83 20 81 734
577 53 70 5 563
578 67 16 96 661
579 41 7 50 477
580 85 3 50 623
581 74 85 20 800
582 35 37 68 529
583 95 88 55 800
584 65 9 61 571
585 3 50 31 383
586 60 76 16 640
587 41 61 85 680
588 7 53 17 371
589 53 91 59 757
590 97 99 98 800
591 71 28 53 645
592 55 12 81 614
593 24 17 65 434
594 78 89 77 800
595 65 12 3 486
596 83 30 56 691
597 65 16 12 595
598 48 7 69 454
599 50 24 92 585
600 38 72 56 674
601 45 65 58 636
602 82 7 52 675
603 93 17 66 780
604 14 14 59 394
605 75 39 8 651
606 98 23 15 658
607 98 56 99 800
608 35 58 100 579
609 39 9 29 429
610 96 16 79 751
611 10 93 69 588
612 94 86 40 800
613 34 91 40 590
614 53 11 89 551
615 54 3 83 487
616 72 59 26 734
617 40 31 18 421
618 15 56 96 544
619 34 35 84 569
620 63 14 35 592
621 5 57 85 466
622 86 33 1 634
623 21 12 21 376
624 77 25 92 714
625 13 35 4 323
626 32 83 87 649
627 62 79 66 766
628 25 94 22 565
629 64 84 0 706
630 49 15 8 458
631 94 59 77 800
632 86 83 3 765
633 37 63 78 581
634 31 47 39 477
635 83 26 79 764
636 45 2 3 397
637 31 33 36 445
638 9 22 20 339
639 6 88 97 545
640 69 68 57 800
641 67 53 44 692
642 91 56 81 800
643 30 24 16 424
644 94 0 20 585
645 20 95 35 595
646 80 72 45 795
647 22 28 10 345
648 3 75 60 482
649 87 87 10 800
650 69 38 96 682
651 95 72 58 800
652 68 24 17 600
653 85 65 52 769
654 36 98 5 622
655 39 38 29 528
656 57 46 3 590
657 9 82 41 491
658 19 49 71 446
659 59 5 44 535
660 75 13 48 622
661 87 16 38 641
662 37 9 78 473
663 80 40 97 732
664 5 6 44 295
665 62 56 27 580
666 36 33 65 506
667 59 54 76 694
668 92 92 59 800
669 20 39 37 401
670 37 96 51 642
671 67 38 14 636
672 77 95 26 800
673 52 68 17 609
674 83 91 90 800
675 53 25 56 561
676 50 41 34 553
677 42 1 28 427
678 36 11 75 457
679 12 50 56 460
680 30 37 57 445
681 27 81 63 554
682 79 0 97 634
683 78 84 77 800
684 14 38 76 451
685 52 38 15 515
686 60 96 37 721
687 51 48 92 692
688 38 55 50 531
689 43 94 2 650
690 1 87 45 515
691 92 26 2 632
692 8 69 1 451
693 51 45 88 631
694 82 22 96 774
695 60 69 90 733
696 42 96 86 672
697 56 26 12 494
698 79 47 22 669
699 16 32 69 448
700 98 16 65 747
701 47 72 9 547
702 93 53 60 800
703 90 23 95 771
704 75 6 12 543
705 68 68 52 753
706 65 81 94 800
707 7 11 44 293
708 42 69 40 561
709 53 2 36 428
710 95 36 57 791
711 71 73 10 688
712 73 31 66 697
713 47 45 80 671
714 12 83 16 508
715 79 33 50 670
716 44 14 14 396
717 43 30 69 596
718 2 16 48 356
719 14 84 20 465
720 42 67 72 675
721 77 14 33 643
722 0 32 53 364
723 60 83 59 717
724 91 72 76 800
725 71 15 4 541
726 26 42 63 518
727 85 44 17 693
728 33 89 71 677
729 58 41 26 585
730 43 69 8 530
731 5 72 72 513
732 73 1 75 623
733 55 3 17 449
734 75 9 21 553
735 5 40 13 304
736 72 90 32 770
737 30 44 66 552
738 28 76 46 582
739 83 71 22 748
740 8 16 5 302
741 4 87 85 479
742 35 9 46 451
743 54 16 4 522
744 61 85 33 742
745 27 63 35 493
746 20 21 23 349
747 38 67 21 544
748 47 97 29 637
749 84 89 30 800
750 12 97 90 537
