#,carat,cut,color,clarity,depth,table,price,x,y,z
50184,0.66,Ideal,H,VS1,62.7,55.0,2222,5.6,5.57,3.5
46208,0.51,Very Good,G,VVS2,62.9,57.0,1750,5.06,5.12,3.2
47778,0.6,Very Good,D,SI1,62.2,56.0,1896,5.4,5.44,3.37
22351,0.31,Very Good,I,VS1,63.5,57.0,628,4.28,4.26,2.71
9640,1.17,Good,D,SI2,57.8,62.0,4639,6.97,6.91,4.01
50435,0.77,Very Good,I,VS2,63.4,58.0,2262,5.81,5.74,3.66
37509,0.36,Ideal,G,IF,61.5,56.0,985,4.59,4.62,2.83
12624,1.04,Premium,D,SI2,62.4,56.0,5292,6.5,6.45,4.04
18037,0.35,Premium,H,VS1,61.3,59.0,614,4.54,4.57,2.79
45809,0.52,Good,F,VS1,61.2,62.0,1710,5.12,5.05,3.11
40622,0.41,Premium,E,VS1,60.8,59.0,1153,4.82,4.76,2.91
42966,0.56,Ideal,F,SI1,61.5,55.0,1365,5.32,5.35,3.28
37576,0.46,Ideal,G,SI1,61.4,56.0,990,4.97,4.99,3.06
1087,0.9,Ideal,I,SI2,61.9,57.0,2909,6.19,6.13,3.81
18735,1.04,Very Good,D,VS2,61.2,56.0,7653,6.53,6.58,4.02
40328,0.45,Good,G,VS1,64.1,58.8,1127,4.79,4.86,3.09
17771,1.05,Ideal,G,VS1,61.3,57.0,7155,6.58,6.51,4.01
8716,0.37,Ideal,G,SI1,62.0,55.0,586,4.62,4.64,2.87
632,0.82,Ideal,F,SI2,62.3,56.0,2841,5.96,6.02,3.73
19656,1.01,Premium,D,VS1,62.4,58.0,8265,6.38,6.41,3.99
47422,0.57,Very Good,E,VS2,62.9,57.0,1851,5.26,5.29,3.32
18915,1.0,Premium,G,VVS2,61.6,61.0,7762,6.38,6.35,3.92
41629,0.24,Ideal,H,IF,61.8,54.0,504,3.99,4.03,2.47
25241,2.02,Premium,H,SI2,62.6,59.0,13850,8.03,7.97,5.01
2850,1.1,Premium,I,SI2,59.3,62.0,3271,6.75,6.7,3.99
8486,0.95,Very Good,D,SI2,60.1,61.0,4418,6.35,6.37,3.82
23602,1.51,Ideal,E,SI1,61.3,57.0,11628,7.35,7.42,4.53
39906,0.56,Premium,G,SI2,59.6,58.0,1103,5.42,5.35,3.21
6438,0.91,Premium,G,SI1,62.2,59.0,4045,6.15,6.19,3.84
17905,0.85,Ideal,D,VVS1,62.0,56.0,7230,6.05,6.11,3.77
24402,1.06,Very Good,E,IF,62.4,55.0,12642,6.5,6.54,4.07
35656,0.31,Premium,G,VVS2,62.9,58.0,907,4.3,4.28,2.7
53057,0.72,Ideal,F,VS2,62.0,57.0,2607,5.77,5.72,3.56
2664,0.72,Ideal,E,VS2,62.1,57.0,3235,5.73,5.76,3.57
45749,0.51,Ideal,H,VVS1,62.7,57.0,1702,5.12,5.15,3.22
50100,0.71,Premium,H,SI1,62.5,60.0,2207,5.75,5.68,3.57
10196,0.91,Premium,E,VS2,62.8,59.0,4739,6.17,6.15,3.87
15936,1.29,Ideal,I,SI1,61.9,56.0,6372,6.97,7.03,4.33
16780,1.02,Ideal,G,VS1,62.2,56.0,6683,6.46,6.4,4.0
42615,0.32,Good,H,VS2,63.1,55.0,505,4.33,4.36,2.74
2076,0.77,Ideal,F,SI1,61.5,56.0,3108,5.89,5.95,3.64
49539,0.72,Fair,E,SI2,68.4,64.0,2125,5.38,5.32,3.66
25704,0.35,Ideal,D,SI1,61.6,55.0,644,4.53,4.56,2.8
17300,1.22,Premium,F,SI1,62.5,59.0,6932,6.78,6.83,4.25
20477,1.52,Fair,H,SI1,61.2,60.0,8818,7.39,7.29,4.49
43220,0.4,Ideal,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
19426,1.0,Very Good,D,VS1,60.5,59.0,8077,6.43,6.46,3.9
12601,1.0,Very Good,H,SI1,60.9,58.0,5287,6.43,6.46,3.93
51592,0.77,Good,H,SI1,63.0,65.0,2393,5.82,5.74,3.64
47824,0.61,Ideal,D,SI1,61.6,55.0,1904,5.49,5.51,3.39
42879,0.53,Very Good,F,SI1,61.6,57.0,1359,5.16,5.23,3.2
43532,0.6,Premium,E,SI2,62.0,59.0,1426,5.41,5.37,3.34
15836,1.01,Premium,E,VS2,63.0,60.0,6335,6.35,6.32,3.99
46870,0.53,Ideal,E,VS2,60.0,57.0,1813,5.3,5.24,3.16
30113,0.32,Premium,G,VS2,60.5,58.0,720,4.42,4.41,2.67
6261,0.9,Ideal,I,VVS2,61.9,55.0,4011,6.21,6.23,3.85
20860,1.26,Ideal,G,VS1,61.6,56.0,9078,6.96,7.03,4.31
46992,0.64,Premium,F,SI1,61.2,58.0,1816,5.6,5.54,3.41
37221,0.31,Ideal,F,VVS1,61.6,55.0,975,4.36,4.41,2.7
27316,2.0,Premium,D,SI2,61.6,59.0,17835,8.2,8.09,5.02
30461,0.32,Ideal,G,VVS1,61.3,60.0,732,4.39,4.42,2.7
9057,0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76
41980,0.55,Ideal,F,SI2,61.2,56.0,1263,5.29,5.23,3.22
17219,1.31,Very Good,I,VS1,62.3,58.0,6885,6.99,7.03,4.37
33422,0.32,Ideal,H,VVS2,61.7,56.0,828,4.42,4.37,2.71
28438,0.43,Ideal,I,SI1,62.2,54.0,670,4.84,4.87,3.02
12876,1.03,Premium,H,VS2,62.6,56.0,5364,6.43,6.38,4.01
16926,1.69,Ideal,H,I1,62.0,56.0,6757,7.66,7.61,4.73
31293,0.32,Ideal,D,VS2,61.9,55.0,758,4.41,4.44,2.74
10570,0.94,Premium,D,SI1,60.7,60.0,4817,6.32,6.27,3.82
20011,0.3,Very Good,H,SI1,61.3,61.0,421,4.25,4.27,2.61
53432,0.72,Good,F,VS2,58.0,57.0,2671,5.93,6.01,3.46
51704,0.7,Very Good,F,VS2,62.1,58.0,2400,5.68,5.72,3.54
11309,1.06,Premium,H,SI1,61.0,58.0,4984,6.57,6.61,4.02
13642,1.1,Ideal,H,SI1,62.7,57.0,5583,6.6,6.63,4.15
23058,1.5,Premium,H,VS1,59.9,60.0,11088,7.39,7.44,4.44
10726,0.31,Premium,D,SI2,62.9,59.0,593,4.31,4.28,2.7
53196,0.7,Ideal,G,VS2,60.0,57.0,2633,5.8,5.84,3.49
2521,0.71,Very Good,D,VS2,59.7,55.0,3203,5.85,5.88,3.5
15270,1.2,Very Good,E,SI2,61.4,58.0,6130,6.81,6.88,4.2
2718,0.3,Ideal,E,SI1,62.3,57.0,564,4.28,4.32,2.68
12216,0.9,Very Good,D,VS1,58.9,59.0,5195,6.22,6.31,3.69
3156,0.9,Very Good,I,VS2,58.4,62.0,3334,6.29,6.35,3.69
47427,0.53,Very Good,E,VS2,60.1,59.0,1852,5.24,5.27,3.16
9838,1.12,Very Good,H,SI1,63.1,56.0,4673,6.62,6.59,4.17
1736,0.32,Very Good,G,VS2,62.6,58.0,561,4.37,4.39,2.74
27661,2.01,Good,H,VS2,63.3,55.0,18640,7.87,7.94,5.0
36606,0.32,Ideal,D,SI2,61.4,56.0,477,4.43,4.46,2.73
32694,0.31,Very Good,G,VS1,63.2,56.0,802,4.29,4.28,2.71
31988,0.3,Ideal,F,VS2,62.9,57.0,776,4.29,4.26,2.69
22878,1.32,Ideal,E,VS2,62.0,56.0,10919,7.02,7.07,4.37
8308,0.96,Premium,D,SI2,59.1,58.0,4388,6.53,6.44,3.83
44517,0.52,Ideal,D,SI1,60.9,57.0,1600,5.17,5.21,3.16
43686,0.5,Very Good,D,SI1,58.8,60.0,1436,5.17,5.23,3.06
31728,0.31,Ideal,G,VVS1,61.4,57.0,772,4.37,4.39,2.68
48794,0.83,Premium,J,SI1,59.3,59.0,2022,6.17,6.1,3.64
29273,0.31,Good,E,SI1,63.7,57.0,698,4.31,4.29,2.74
48282,0.53,Ideal,D,VS2,61.4,56.0,1956,5.23,5.2,3.2
51046,0.73,Very Good,G,SI1,59.8,61.0,2330,5.83,5.85,3.49
46417,0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
33666,0.35,Very Good,E,VVS1,63.0,59.0,835,4.44,4.48,2.81
1523,0.7,Ideal,F,VS1,61.6,57.0,2998,5.7,5.73,3.52
21032,0.31,Good,F,VS2,63.9,56.0,625,4.29,4.32,2.75
31270,0.32,Very Good,I,VS2,62.9,57.0,449,4.37,4.4,2.76
12586,1.31,Premium,I,SI1,62.0,58.0,5282,7.01,6.98,4.34
37870,0.38,Ideal,F,VS1,61.1,56.0,1004,4.7,4.65,2.86
32042,0.31,Ideal,D,VVS2,61.9,56.0,779,4.32,4.37,2.69
2976,0.71,Ideal,G,VS2,61.8,56.0,3299,5.68,5.72,3.52
21823,1.51,Premium,D,SI2,63.0,62.0,9894,7.28,7.23,4.57
40141,0.51,Premium,H,SI1,60.6,59.0,1116,5.17,5.13,3.12
39652,0.4,Ideal,G,VS1,61.4,55.0,1087,4.77,4.78,2.93
34031,0.4,Very Good,D,VS2,63.6,55.0,850,4.68,4.72,2.99
11500,1.02,Very Good,F,SI1,61.9,58.0,5019,6.43,6.49,4.0
44751,0.51,Ideal,F,VS2,59.2,56.0,1619,5.23,5.18,3.08
190,0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59
51954,0.63,Ideal,G,VVS2,62.6,56.0,2442,5.45,5.48,3.42
9371,0.32,Very Good,D,SI1,62.8,56.0,589,4.34,4.35,2.73
45022,0.54,Premium,H,VS1,60.8,61.0,1637,5.29,5.23,3.2
35541,0.33,Ideal,E,VVS1,60.7,57.0,906,4.46,4.5,2.72
1869,0.8,Very Good,E,SI2,62.6,59.0,3070,5.84,5.91,3.68
9612,1.02,Very Good,G,SI1,62.0,57.0,4633,6.41,6.5,4.0
33243,0.41,Ideal,E,SI1,61.2,55.0,824,4.8,4.84,2.95
18994,1.5,Fair,J,VS1,60.1,61.0,7819,7.25,7.3,4.37
13023,0.31,Ideal,G,VS1,62.3,54.0,600,4.35,4.38,2.72
8668,0.9,Premium,G,SI1,60.6,57.0,4455,6.28,6.2,3.78
23871,1.77,Premium,F,SI1,60.3,59.0,11965,7.94,7.87,4.77
40272,0.23,Ideal,F,VS2,61.8,55.0,493,3.93,3.96,2.43
10617,1.06,Ideal,H,SI2,62.5,57.1,4829,6.46,6.5,4.05
24409,1.51,Ideal,D,SI1,60.7,59.0,12648,7.47,7.42,4.52
19854,1.06,Ideal,E,VS1,62.1,57.0,8413,6.49,6.52,4.04
9112,0.9,Ideal,G,VS1,61.6,56.3,4531,6.22,6.3,3.86
5206,1.04,Premium,G,SI1,60.3,58.0,3780,6.6,6.55,3.96
1679,0.77,Good,H,VVS2,57.9,61.0,3027,6.07,6.01,3.5
52507,0.63,Ideal,E,VS1,61.5,56.0,2526,5.53,5.5,3.39
51940,0.72,Very Good,I,VS1,63.8,59.0,2441,5.63,5.71,3.62
38780,0.31,Premium,E,VVS2,61.3,60.0,1046,4.35,4.33,2.66
301,0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62
16553,1.01,Very Good,G,VS1,59.1,58.0,6613,6.56,6.63,3.9
28859,0.4,Very Good,E,SI1,59.8,61.0,684,4.76,4.81,2.86
30310,0.34,Ideal,F,VS2,61.5,55.0,726,4.53,4.57,2.8
28765,0.31,Premium,E,VS2,60.8,58.0,680,4.35,4.37,2.65
11690,1.29,Ideal,D,I1,61.3,56.0,5065,6.99,7.05,4.3
41479,0.56,Premium,J,VS2,60.9,60.0,1232,5.33,5.27,3.23
48603,0.72,Ideal,J,VVS2,61.6,56.0,1996,5.76,5.73,3.54
15075,1.03,Ideal,F,SI1,61.3,56.0,6059,6.51,6.55,4.0
13221,1.06,Ideal,J,VS2,61.4,56.0,5459,6.55,6.6,4.04
34034,0.4,Very Good,D,VS2,63.5,57.0,850,4.62,4.67,2.95
28512,0.3,Premium,F,VS2,61.8,60.0,673,4.3,4.27,2.65
51063,0.71,Very Good,I,VS1,61.1,57.0,2332,5.75,5.8,3.53
14002,1.2,Premium,I,VS2,62.6,58.0,5699,6.77,6.72,4.22
32188,0.41,Ideal,G,SI1,61.2,56.0,788,4.8,4.84,2.95
48421,0.7,Ideal,J,VS2,61.5,57.0,1971,5.7,5.74,3.52
16147,1.2,Premium,G,SI1,62.7,58.0,6451,6.71,6.66,4.19
15082,1.11,Very Good,H,VS1,63.2,57.0,6061,6.61,6.53,4.15
19322,1.2,Good,G,VS2,57.8,59.0,8032,7.06,7.0,4.06
1657,0.65,Ideal,E,VVS2,62.1,57.0,3023,5.55,5.6,3.46
40831,0.53,Ideal,G,SI2,61.6,55.0,1171,5.2,5.25,3.22
22989,1.23,Ideal,F,VVS2,61.8,56.0,11040,6.84,6.89,4.24
10922,1.2,Very Good,J,SI1,61.3,59.0,4891,6.83,6.9,4.21
51576,0.77,Premium,G,SI2,61.9,59.0,2391,5.88,5.84,3.63
35210,0.33,Premium,I,IF,62.1,58.0,891,4.43,4.39,2.74
16046,0.3,Premium,H,VS2,60.9,61.0,608,4.3,4.27,2.61
2222,0.9,Very Good,J,VS2,63.5,56.0,3145,6.12,6.1,3.88
2310,0.7,Ideal,G,VVS1,62.8,57.0,3165,5.63,5.68,3.55
51056,0.7,Premium,H,SI1,60.0,60.0,2331,5.79,5.72,3.5
35910,0.4,Ideal,H,VS2,60.9,56.0,919,4.79,4.83,2.93
6270,1.04,Ideal,I,VS2,62.9,56.0,4013,6.5,6.41,4.06
19527,1.5,Good,I,SI1,62.9,60.0,8161,7.12,7.16,4.49
10397,0.31,Very Good,G,SI1,63.1,59.0,593,4.33,4.29,2.72
25587,2.01,Premium,I,SI2,62.1,56.0,14428,8.11,8.06,5.02
2393,0.32,Ideal,H,VS1,61.1,56.0,561,4.44,4.46,2.72
42191,0.5,Premium,F,SI1,61.0,60.0,1286,5.11,5.08,3.11
46231,0.5,Very Good,D,VS2,62.9,61.0,1752,4.96,5.03,3.14
36625,0.23,Very Good,E,VVS2,60.6,55.0,478,4.02,4.07,2.45
20353,1.55,Premium,J,VS1,62.6,59.0,8749,7.4,7.35,4.62
19077,1.0,Ideal,F,VVS2,61.5,55.0,7849,6.46,6.41,3.96
45419,0.55,Ideal,E,SI1,61.7,57.0,1668,5.27,5.23,3.24
18247,1.01,Very Good,G,VVS1,63.1,59.0,7412,6.42,6.33,4.02
52666,0.74,Very Good,I,VVS2,61.0,59.0,2550,5.83,5.85,3.56
24320,2.03,Ideal,G,SI2,62.2,57.0,12573,8.09,8.06,5.03
35336,0.32,Ideal,E,VS1,61.4,56.0,898,4.42,4.44,2.72
12607,1.23,Good,J,VS2,63.6,57.0,5290,6.74,6.79,4.3
34009,0.3,Premium,D,VS1,59.4,60.0,848,4.38,4.34,2.59
4914,1.25,Premium,F,I1,58.0,59.0,3724,7.12,7.05,4.11
50449,0.7,Very Good,F,SI1,63.5,59.0,2264,5.59,5.65,3.57
8404,1.06,Ideal,H,SI2,60.1,59.0,4401,6.65,6.63,3.99
7593,1.0,Ideal,H,SI2,62.6,56.0,4256,6.38,6.34,3.98
5774,1.05,Good,G,SI2,63.7,59.0,3898,6.41,6.37,4.07
53783,0.73,Ideal,E,SI1,61.8,56.0,2728,5.77,5.81,3.58
23265,1.41,Premium,E,VS2,61.3,58.0,11269,7.29,7.25,4.46
8978,1.01,Good,G,SI1,63.8,56.0,4504,6.32,6.37,4.05
10757,1.01,Premium,E,SI1,62.9,59.0,4853,6.38,6.3,3.99
10217,1.21,Premium,H,SI1,60.5,60.0,4743,6.81,6.72,4.09
40297,0.4,Ideal,G,VS1,62.2,56.0,1125,4.74,4.72,2.94
49064,0.7,Good,F,SI1,63.1,64.0,2058,5.58,5.61,3.53
8530,1.0,Good,G,SI1,64.3,58.0,4427,6.25,6.22,4.01
44782,0.52,Premium,G,VS1,59.1,60.0,1622,5.24,5.19,3.08
16133,1.01,Very Good,G,VS2,63.6,56.0,6449,6.34,6.39,4.05
19040,0.3,Ideal,F,VS1,62.5,57.0,621,4.26,4.28,2.67
29512,0.4,Very Good,G,SI1,61.6,59.0,702,4.66,4.72,2.89
14756,1.01,Premium,D,SI1,62.3,60.0,5939,6.4,6.35,3.97
34497,0.32,Ideal,F,VVS1,61.7,55.0,867,4.38,4.43,2.72
19782,1.21,Ideal,E,VS1,62.2,57.0,8348,6.83,6.8,4.24
42359,0.5,Very Good,H,VS2,62.3,58.0,1302,5.05,5.12,3.17
19534,1.5,Very Good,E,SI2,62.7,59.0,8167,7.22,7.3,4.55
52499,0.5,Premium,D,VVS1,61.5,58.0,2525,5.12,5.06,3.13
5470,0.91,Fair,F,VS2,66.8,58.0,3837,5.95,5.97,3.98
26552,2.05,Premium,H,VS2,60.7,61.0,16235,8.25,8.13,4.97
701,0.7,Very Good,E,VS1,62.4,56.0,2854,5.64,5.7,3.54
13357,0.24,Very Good,E,VS2,63.0,58.0,419,3.94,3.97,2.49
30733,0.25,Ideal,F,IF,62.3,54.0,739,4.06,4.09,2.54
8641,1.0,Premium,I,VS2,61.6,59.0,4452,6.47,6.39,3.96
42371,0.51,Fair,D,SI1,65.2,55.0,1304,5.05,5.01,3.28
39339,0.49,Premium,G,SI1,62.4,58.0,1072,5.05,4.99,3.13
47568,0.51,Ideal,G,VVS2,61.8,56.0,1875,5.1,5.16,3.17
37649,0.41,Very Good,H,VVS1,61.7,58.0,991,4.74,4.79,2.94
51085,0.54,Ideal,F,VVS2,62.3,53.7,2334,5.22,5.26,3.26
16190,1.1,Ideal,H,VS1,61.4,57.0,6470,6.65,6.64,4.08
29799,0.3,Ideal,D,SI1,62.2,55.0,709,4.33,4.29,2.68
10589,0.91,Good,F,VS1,63.5,56.0,4823,6.14,6.18,3.91
53518,0.71,Premium,F,VS2,62.4,59.0,2686,5.71,5.66,3.55
20077,1.0,Very Good,F,VVS2,60.0,62.0,8553,6.43,6.46,3.87
33959,0.23,Very Good,E,VVS1,62.2,59.0,465,3.92,3.96,2.45
27156,2.03,Premium,G,SI2,60.1,60.0,17393,8.27,8.2,4.95
26310,2.02,Premium,I,VS2,62.9,59.0,15808,8.03,7.93,5.02
28633,0.32,Ideal,H,SI1,61.5,55.0,434,4.41,4.43,2.72
52627,0.36,Ideal,F,SI1,61.1,57.0,551,4.57,4.6,2.8
21457,1.57,Ideal,I,SI1,61.7,56.0,9555,7.45,7.48,4.61
13334,1.04,Premium,F,SI1,61.5,59.0,5504,6.54,6.46,4.0
14238,1.23,Ideal,H,SI1,63.0,55.0,5768,6.78,6.72,4.27
5053,0.31,Premium,H,SI1,61.1,57.0,573,4.35,4.32,2.65
44677,0.71,Ideal,J,SI1,62.6,57.0,1609,5.7,5.65,3.55
23385,0.36,Ideal,E,SI1,61.4,57.0,631,4.56,4.59,2.81
43515,0.61,Good,D,SI2,59.8,62.0,1423,5.48,5.53,3.29
2140,0.72,Ideal,H,VVS1,61.4,56.0,3124,5.79,5.77,3.55
5257,0.9,Good,G,VS2,63.9,61.0,3792,6.01,5.97,3.83
21539,1.1,Ideal,F,VVS2,61.2,56.0,9641,6.65,6.68,4.08
27365,0.28,Ideal,E,VVS2,62.1,56.0,646,4.19,4.21,2.61
15624,1.0,Fair,E,VS2,57.4,58.0,6268,6.57,6.64,3.79
39570,0.44,Ideal,G,VVS2,61.8,56.0,1081,4.9,4.94,3.04
32638,0.25,Ideal,G,VS2,61.8,58.0,459,4.04,4.08,2.51
29901,0.31,Very Good,F,VVS2,61.6,56.0,711,4.34,4.38,2.68
44985,0.31,Ideal,G,SI2,61.7,56.0,523,4.38,4.34,2.69
25070,1.51,Ideal,D,SI1,61.9,56.0,13588,7.35,7.41,4.57
6284,1.01,Ideal,F,SI2,62.7,57.0,4017,6.43,6.37,4.01
7540,1.01,Very Good,I,SI2,63.5,57.0,4244,6.35,6.37,4.04
31726,0.33,Very Good,E,VS2,59.8,59.0,772,4.5,4.53,2.7
53729,0.82,Premium,H,SI1,59.9,57.0,2721,6.11,6.07,3.65
32400,0.38,Ideal,I,VVS1,61.6,56.0,791,4.68,4.71,2.89
4374,0.73,Very Good,E,VS1,63.0,60.0,3607,5.68,5.72,3.59
50150,0.71,Good,E,SI2,57.8,60.0,2215,5.86,5.83,3.38
43774,0.56,Very Good,E,SI1,60.2,57.0,1440,5.36,5.4,3.24
42279,0.32,Very Good,G,SI1,62.2,57.0,505,4.36,4.39,2.72
33719,0.33,Ideal,H,IF,62.0,55.0,838,4.46,4.48,2.77
1862,0.73,Very Good,E,VS2,63.1,55.0,3066,5.77,5.71,3.62
8705,0.28,Very Good,G,VVS1,61.9,55.0,586,4.18,4.2,2.6
14652,1.2,Good,E,VS2,63.7,57.0,5914,6.71,6.64,4.25
39732,0.5,Premium,H,SI1,58.7,59.0,1091,5.15,5.11,3.01
37427,0.33,Ideal,G,IF,61.6,56.0,984,4.45,4.48,2.75
8309,1.0,Good,H,SI1,62.7,60.0,4389,6.24,6.3,3.93
23936,1.26,Ideal,G,VVS2,61.4,55.0,12066,6.96,6.99,4.29
43436,0.5,Ideal,D,SI1,61.4,58.0,1415,5.07,5.1,3.12
5880,1.01,Ideal,J,SI1,62.8,57.0,3926,6.4,6.44,4.03
11339,1.01,Very Good,F,SI1,63.3,59.0,4989,6.42,6.38,4.05
42270,0.48,Premium,F,VS2,60.1,59.0,1294,5.12,5.1,3.07
16830,1.11,Premium,G,VS2,60.8,58.0,6713,6.7,6.65,4.06
22645,1.5,Ideal,H,VS2,62.2,57.0,10692,7.27,7.33,4.54
3951,0.7,Premium,F,VVS1,61.6,59.0,3504,5.71,5.76,3.53
14433,1.2,Ideal,G,SI2,61.1,57.0,5826,6.86,6.83,4.18
14657,1.11,Very Good,D,SI1,61.6,57.0,5915,6.66,6.59,4.08
24616,1.39,Ideal,G,IF,60.6,55.0,12943,7.21,7.27,4.39
44660,0.35,Premium,D,SI2,60.8,58.0,522,4.51,4.57,2.76
41277,0.35,Ideal,G,SI1,61.8,55.0,503,4.54,4.56,2.81
34549,0.46,Ideal,E,SI2,61.3,56.0,870,4.96,5.02,3.06
41533,0.42,Good,G,VVS1,63.6,55.0,1235,4.78,4.75,3.03
41132,0.35,Ideal,E,IF,62.2,56.0,1197,4.51,4.52,2.81
51296,0.54,Ideal,G,IF,61.6,57.0,2361,5.22,5.27,3.23
16338,1.1,Ideal,G,VS2,62.0,56.0,6534,6.6,6.68,4.12
38683,0.3,Ideal,F,VVS1,61.9,55.0,1041,4.32,4.34,2.68
12726,0.9,Premium,E,VS2,59.5,58.0,5312,6.33,6.28,3.75
42432,0.54,Very Good,F,SI1,64.0,59.0,1314,5.14,5.18,3.3
33860,0.3,Ideal,E,VS2,61.0,56.0,844,4.36,4.33,2.65
8377,0.31,Good,F,VS2,63.6,54.0,583,4.28,4.33,2.74
43855,0.55,Premium,G,VS2,59.6,59.0,1448,5.32,5.36,3.18
31515,0.34,Ideal,E,SI1,61.4,54.0,765,4.53,4.5,2.77
31439,0.33,Good,F,VVS1,63.3,57.0,764,4.38,4.44,2.79
33852,0.3,Premium,F,VS1,60.5,60.0,844,4.31,4.29,2.6
23984,1.51,Very Good,F,SI1,62.6,57.0,12141,7.25,7.31,4.56
26183,2.01,Premium,I,SI1,62.4,61.0,15528,8.01,7.99,4.99
39814,0.4,Ideal,G,VVS1,61.7,55.0,1097,4.75,4.78,2.94
11728,0.34,Ideal,G,VS2,61.7,56.0,596,4.48,4.53,2.78
32964,0.3,Ideal,F,SI1,62.5,57.0,461,4.27,4.31,2.68
28435,0.3,Ideal,E,VS1,61.8,56.0,670,4.32,4.35,2.68
38497,0.42,Ideal,D,VS2,62.4,55.0,1031,4.8,4.82,3.0
45444,0.7,Very Good,I,SI2,63.2,60.0,1672,5.62,5.55,3.53
6648,1.11,Ideal,J,SI2,61.7,57.0,4092,6.63,6.69,4.11
202,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49
